InvoiceID,SupplierID,CompanyID,GoodsCode,Quantity,UnitPrice,TotalAmount,TotalAmountVAT,InvoiceDate
B2B00000001,SUPP_001,COMP000001,401,12.041,11.77,141.72,35.43,2024-01-01
B2B00000002,SUPP_001,COMP000001,702,14.623,34.34,502.17,125.54,2024-01-01
B2B00000003,SUPP_001,COMP000001,703,4.99,27.47,137.08,34.27,2024-01-01
B2B00000004,SUPP_001,COMP000001,1512,2.543,17.66,44.92,11.23,2024-01-01
B2B00000005,SUPP_001,COMP000001,1601,12.553,83.38,1046.68,261.67,2024-01-01
B2B00000006,SUPP_001,COMP000001,1602,37.677,117.72,4435.37,1108.84,2024-01-01
B2B00000007,SUPP_001,COMP000001,1901,23.992,24.52,588.29,147.07,2024-01-01
B2B00000008,SUPP_001,COMP000001,2005,20.548,34.34,705.61,176.4,2024-01-01
B2B00000009,SUPP_001,COMP000001,2104,28.47,44.14,1256.66,314.17,2024-01-01
B2B00000010,SUPP_001,COMP000001,2710,164.683,15.21,2504.83,626.21,2024-01-01
B2B00000011,SUPP_001,COMP000001,3923,12.604,21.58,271.99,68.0,2024-01-01
B2B00000012,SUPP_001,COMP000001,401,12.291,11.77,144.67,36.17,2024-02-05
B2B00000013,SUPP_001,COMP000001,702,14.779,34.34,507.52,126.88,2024-02-05
B2B00000014,SUPP_001,COMP000001,703,4.736,27.47,130.1,32.52,2024-02-05
B2B00000015,SUPP_001,COMP000001,1512,2.446,17.66,43.2,10.8,2024-02-05
B2B00000016,SUPP_001,COMP000001,1601,12.216,83.38,1018.61,254.65,2024-02-05
B2B00000017,SUPP_001,COMP000001,1602,37.727,117.72,4441.18,1110.3,2024-02-05
B2B00000018,SUPP_001,COMP000001,1901,25.839,24.52,633.58,158.4,2024-02-05
B2B00000019,SUPP_001,COMP000001,2005,19.436,34.34,667.45,166.86,2024-02-05
B2B00000020,SUPP_001,COMP000001,2104,30.049,44.14,1326.37,331.59,2024-02-05
B2B00000021,SUPP_001,COMP000001,2710,159.272,15.21,2422.52,605.63,2024-02-05
B2B00000022,SUPP_001,COMP000001,3923,12.394,21.58,267.47,66.87,2024-02-05
B2B00000023,SUPP_001,COMP000001,401,12.845,11.77,151.18,37.8,2024-03-04
B2B00000024,SUPP_001,COMP000001,702,15.523,34.34,533.06,133.26,2024-03-04
B2B00000025,SUPP_001,COMP000001,703,5.175,27.47,142.14,35.53,2024-03-04
B2B00000026,SUPP_001,COMP000001,1512,2.495,17.66,44.06,11.02,2024-03-04
B2B00000027,SUPP_001,COMP000001,1601,12.607,83.38,1051.18,262.8,2024-03-04
B2B00000028,SUPP_001,COMP000001,1602,36.694,117.72,4319.6,1079.9,2024-03-04
B2B00000029,SUPP_001,COMP000001,1901,25.071,24.52,614.73,153.68,2024-03-04
B2B00000030,SUPP_001,COMP000001,2005,20.446,34.34,702.12,175.53,2024-03-04
B2B00000031,SUPP_001,COMP000001,2104,29.909,44.14,1320.17,330.04,2024-03-04
B2B00000032,SUPP_001,COMP000001,2710,168.888,15.21,2568.78,642.2,2024-03-04
B2B00000033,SUPP_001,COMP000001,3923,12.435,21.58,268.35,67.09,2024-03-04
B2B00000034,SUPP_001,COMP000001,401,12.057,11.77,141.92,35.48,2024-04-01
B2B00000035,SUPP_001,COMP000001,702,14.32,34.34,491.75,122.94,2024-04-01
B2B00000036,SUPP_001,COMP000001,703,4.848,27.47,133.17,33.29,2024-04-01
B2B00000037,SUPP_001,COMP000001,1512,2.385,17.66,42.13,10.53,2024-04-01
B2B00000038,SUPP_001,COMP000001,1601,12.024,83.38,1002.57,250.64,2024-04-01
B2B00000039,SUPP_001,COMP000001,1602,37.197,117.72,4378.78,1094.7,2024-04-01
B2B00000040,SUPP_001,COMP000001,1901,25.858,24.52,634.04,158.51,2024-04-01
B2B00000041,SUPP_001,COMP000001,2005,19.969,34.34,685.73,171.43,2024-04-01
