InvoiceID,CompanyID,Period,ServiceType,TotalHours,TotalAmount,TotalAmountVAT,InvoiceDate,ProcurementID
B2G00000001,COMP000001,2024-01-01,Meals,1075.91,560547.44,0.0,2024-02-07,PROC000001
B2G00000002,COMP000001,2024-02-01,Meals,1074.37,559745.87,0.0,2024-03-07,PROC000001
B2G00000003,COMP000001,2024-03-01,Meals,1079.0,562155.94,0.0,2024-04-07,PROC000001
B2G00000004,COMP000001,2024-04-01,Meals,1073.65,559372.72,0.0,2024-05-07,PROC000001
B2G00000005,COMP000001,2024-05-01,Meals,1072.32,558680.53,0.0,2024-06-07,PROC000001
B2G00000006,COMP000001,2024-06-01,Meals,1078.7,562003.83,0.0,2024-07-07,PROC000001
B2G00000007,COMP000001,2024-07-01,Meals,1077.82,561545.75,0.0,2024-08-07,PROC000001
B2G00000008,COMP000001,2024-08-01,Meals,1074.76,559952.53,0.0,2024-09-07,PROC000001
B2G00000009,COMP000001,2024-09-01,Meals,1075.79,560484.95,0.0,2024-10-07,PROC000001
B2G00000010,COMP000001,2024-10-01,Meals,1070.44,557701.3,0.0,2024-11-07,PROC000001
B2G00000011,COMP000001,2024-11-01,Meals,1074.01,559558.41,0.0,2024-12-07,PROC000001
B2G00000012,COMP000002,2024-01-01,Meals,933.32,486257.88,0.0,2024-02-07,PROC000002
B2G00000013,COMP000002,2024-02-01,Meals,937.41,488391.48,0.0,2024-03-07,PROC000002
B2G00000014,COMP000002,2024-03-01,Meals,933.97,486601.3,0.0,2024-04-07,PROC000002
B2G00000015,COMP000002,2024-04-01,Meals,935.55,487422.28,0.0,2024-05-07,PROC000002
B2G00000016,COMP000002,2024-05-01,Meals,934.62,486939.02,0.0,2024-06-07,PROC000002
B2G00000017,COMP000002,2024-06-01,Meals,929.82,484433.88,0.0,2024-07-07,PROC000002
B2G00000018,COMP000002,2024-07-01,Meals,935.59,487442.55,0.0,2024-08-07,PROC000002
B2G00000019,COMP000002,2024-08-01,Meals,935.64,487465.36,0.0,2024-09-07,PROC000002
B2G00000020,COMP000002,2024-09-01,Meals,931.46,485290.68,0.0,2024-10-07,PROC000002
B2G00000021,COMP000002,2024-10-01,Meals,934.99,487130.94,0.0,2024-11-07,PROC000002
B2G00000022,COMP000002,2024-11-01,Meals,934.54,486895.07,0.0,2024-12-07,PROC000002
B2G00000023,COMP000003,2024-01-01,Meals,934.5,486871.86,0.0,2024-02-07,PROC000003
B2G00000024,COMP000003,2024-02-01,Meals,933.25,486226.4,0.0,2024-03-07,PROC000003
B2G00000025,COMP000003,2024-03-01,Meals,934.1,486670.04,0.0,2024-04-07,PROC000003
B2G00000026,COMP000003,2024-04-01,Meals,932.29,485725.5,0.0,2024-05-07,PROC000003
B2G00000027,COMP000003,2024-05-01,Meals,933.13,486161.04,0.0,2024-06-07,PROC000003
B2G00000028,COMP000003,2024-06-01,Meals,933.27,486231.94,0.0,2024-07-07,PROC000003
B2G00000029,COMP000003,2024-07-01,Meals,933.2,486198.14,0.0,2024-08-07,PROC000003
B2G00000030,COMP000003,2024-08-01,Meals,930.94,485021.71,0.0,2024-09-07,PROC000003
B2G00000031,COMP000003,2024-09-01,Meals,932.56,485865.76,0.0,2024-10-07,PROC000003
B2G00000032,COMP000003,2024-10-01,Meals,932.71,485939.77,0.0,2024-11-07,PROC000003
B2G00000033,COMP000003,2024-11-01,Meals,933.93,486577.25,0.0,2024-12-07,PROC000003
B2G00000034,COMP000004,2024-01-01,Meals,4299.8,2240194.55,0.0,2024-02-07,PROC000004
B2G00000035,COMP000004,2024-02-01,Meals,4310.39,2245713.19,0.0,2024-03-07,PROC000004
B2G00000036,COMP000004,2024-03-01,Meals,4299.59,2240083.02,0.0,2024-04-07,PROC000004
B2G00000037,COMP000004,2024-04-01,Meals,4302.1,2241393.35,0.0,2024-05-07,PROC000004
B2G00000038,COMP000004,2024-05-01,Meals,4303.26,2241995.74,0.0,2024-06-07,PROC000004
B2G00000039,COMP000004,2024-06-01,Meals,4304.29,2242535.13,0.0,2024-07-07,PROC000004
B2G00000040,COMP000004,2024-07-01,Meals,4310.63,2245836.56,0.0,2024-08-07,PROC000004
B2G00000041,COMP000004,2024-08-01,Meals,4301.38,2241020.04,0.0,2024-09-07,PROC000004
B2G00000042,COMP000004,2024-09-01,Meals,4309.5,2245246.2,0.0,2024-10-07,PROC000004
B2G00000043,COMP000004,2024-10-01,Meals,4300.49,2240554.4,0.0,2024-11-07,PROC000004
B2G00000044,COMP000004,2024-11-01,Meals,4300.93,2240782.71,0.0,2024-12-07,PROC000004
B2G00000045,COMP000005,2024-01-01,Meals,5373.03,2799345.4,0.0,2024-02-07,PROC000005
B2G00000046,COMP000005,2024-02-01,Meals,5372.08,2798855.36,0.0,2024-03-07,PROC000005
B2G00000047,COMP000005,2024-03-01,Meals,5379.77,2802859.79,0.0,2024-04-07,PROC000005
B2G00000048,COMP000005,2024-04-01,Meals,5372.28,2798953.16,0.0,2024-05-07,PROC000005
B2G00000049,COMP000005,2024-05-01,Meals,5370.58,2798070.76,0.0,2024-06-07,PROC000005
B2G00000050,COMP000005,2024-06-01,Meals,5368.94,2797217.12,0.0,2024-07-07,PROC000005
B2G00000051,COMP000005,2024-07-01,Meals,5379.73,2802835.65,0.0,2024-08-07,PROC000005
B2G00000052,COMP000005,2024-08-01,Meals,5371.44,2798518.18,0.0,2024-09-07,PROC000005
B2G00000053,COMP000005,2024-09-01,Meals,5376.78,2801302.37,0.0,2024-10-07,PROC000005
B2G00000054,COMP000005,2024-10-01,Meals,5369.79,2797661.21,0.0,2024-11-07,PROC000005
B2G00000055,COMP000005,2024-11-01,Meals,5371.93,2798778.17,0.0,2024-12-07,PROC000005
B2G00000056,COMP000006,2024-01-01,Meals,3624.13,1888176.35,0.0,2024-02-07,PROC000006
B2G00000057,COMP000006,2024-02-01,Meals,3637.37,1895071.11,0.0,2024-03-07,PROC000006
B2G00000058,COMP000006,2024-03-01,Meals,3633.25,1892926.33,0.0,2024-04-07,PROC000006
B2G00000059,COMP000006,2024-04-01,Meals,3626.76,1889541.06,0.0,2024-05-07,PROC000006
B2G00000060,COMP000006,2024-05-01,Meals,3625.93,1889111.19,0.0,2024-06-07,PROC000006
B2G00000061,COMP000006,2024-06-01,Meals,3628.71,1890559.8,0.0,2024-07-07,PROC000006
B2G00000062,COMP000006,2024-07-01,Meals,3638.46,1895633.55,0.0,2024-08-07,PROC000006
B2G00000063,COMP000006,2024-08-01,Meals,3637.98,1895386.62,0.0,2024-09-07,PROC000006
B2G00000064,COMP000006,2024-09-01,Meals,3637.08,1894922.24,0.0,2024-10-07,PROC000006
B2G00000065,COMP000006,2024-10-01,Meals,3630.41,1891443.03,0.0,2024-11-07,PROC000006
B2G00000066,COMP000006,2024-11-01,Meals,3633.95,1893284.04,0.0,2024-12-07,PROC000006
B2G00000067,COMP000007,2024-01-01,Meals,530.38,276325.86,0.0,2024-02-07,PROC000007
B2G00000068,COMP000007,2024-02-01,Meals,532.88,277632.48,0.0,2024-03-07,PROC000007
B2G00000069,COMP000007,2024-03-01,Meals,535.66,279078.95,0.0,2024-04-07,PROC000007
B2G00000070,COMP000007,2024-04-01,Meals,532.53,277448.18,0.0,2024-05-07,PROC000007
B2G00000071,COMP000007,2024-05-01,Meals,534.07,278252.29,0.0,2024-06-07,PROC000007
B2G00000072,COMP000007,2024-06-01,Meals,535.78,279142.46,0.0,2024-07-07,PROC000007
B2G00000073,COMP000007,2024-07-01,Meals,531.39,276853.43,0.0,2024-08-07,PROC000007
B2G00000074,COMP000007,2024-08-01,Meals,533.33,277865.41,0.0,2024-09-07,PROC000007
