CitizenID,EmployeeID,ServiceType,WeeklyServiceHours,SIPResponsible,FamilyRelationsToServiceCompany,MedicalRecords,CriminalBackground,Debt
CIT033650,EMP003449,Transport,28.18,SIPA000030,0,True,False,0.0
CIT011147,EMP001303,Meals,27.36,SIPA000077,0,True,False,0.0
CIT010109,EMP001183,Meals,26.59,SIPA000023,0,True,False,0.0
CIT037634,EMP003604,Transport,26.51,SIPA000078,0,True,False,0.0
CIT012718,EMP001490,Meals,26.42,SIPA000008,0,True,False,0.0
CIT033625,EMP003424,Transport,26.08,SIPA000005,0,True,False,0.0
CIT010107,EMP001181,Meals,26.07,SIPA000021,0,True,False,0.0
CIT015589,EMP001817,Cleaning,25.61,SIPA000009,0,True,False,0.0
CIT010105,EMP001179,Meals,25.55,SIPA000019,0,True,False,0.0
CIT010995,EMP001283,Meals,25.5,SIPA000007,0,True,False,0.0
CIT012720,EMP001492,Meals,25.24,SIPA000010,0,True,False,0.0
CIT019461,EMP002261,Cleaning,25.21,SIPA000027,0,True,False,0.0
CIT003924,EMP000468,Meals,25.18,SIPA000070,0,True,False,0.0
CIT010106,EMP001180,Meals,25.06,SIPA000020,0,True,False,0.0
CIT019503,EMP002303,Cleaning,24.99,SIPA000069,0,True,False,0.0
CIT019466,EMP002266,Cleaning,24.98,SIPA000032,0,True,False,0.0
CIT017750,EMP002080,Cleaning,24.86,SIPA000038,0,True,False,0.0
CIT013340,EMP001560,Meals,24.78,SIPA000056,0,True,False,0.0
CIT011487,EMP001348,Meals,24.77,SIPA000007,0,True,True,0.0
CIT005907,EMP000700,Meals,24.71,SIPA000003,0,True,False,0.0
CIT003922,EMP000466,Meals,24.71,SIPA000068,0,True,False,0.0
CIT010618,EMP001248,Meals,24.68,SIPA000040,0,True,False,0.0
CIT011148,EMP001304,Meals,24.64,SIPA000078,0,True,False,0.0
CIT007492,EMP000884,Meals,24.63,SIPA000030,0,True,True,0.0
CIT005604,EMP000658,Meals,24.53,SIPA000028,0,True,False,0.0
CIT003915,EMP000459,Meals,24.53,SIPA000061,0,True,False,0.0
CIT012716,EMP001488,Meals,24.41,SIPA000006,0,True,False,0.0
CIT005921,EMP000714,Meals,24.4,SIPA000017,0,True,False,0.0
CIT021032,EMP002452,Cleaning,24.38,SIPA000040,0,True,False,0.0
CIT007489,EMP000881,Meals,24.37,SIPA000027,0,True,False,0.0
CIT007487,EMP000879,Meals,24.35,SIPA000025,0,True,False,0.0
CIT013336,EMP001556,Meals,24.32,SIPA000052,0,True,False,0.0
CIT003140,EMP000373,Meals,24.32,SIPA000024,0,True,False,0.0
CIT016090,EMP001876,Cleaning,24.26,SIPA000018,0,True,False,0.0
CIT000061,EMP000009,Meals,24.23,SIPA000061,0,True,False,0.0
CIT022533,EMP002605,Cleaning,24.18,SIPA000065,0,True,False,0.0
CIT029670,EMP003234,Transport,24.06,SIPA000068,0,True,False,0.0
CIT000250,EMP000037,Meals,23.93,SIPA000004,0,True,False,0.0
CIT031284,EMP003291,Transport,23.84,SIPA000042,0,True,False,0.0
CIT001707,EMP000203,Meals,23.82,SIPA000067,0,True,False,0.0
CIT010617,EMP001247,Meals,23.8,SIPA000039,0,True,False,0.0
CIT010612,EMP001242,Meals,23.79,SIPA000034,0,True,False,0.0
CIT024571,EMP002845,Cleaning,23.77,SIPA000053,0,True,False,0.0
CIT033047,EMP003386,Transport,23.76,SIPA000001,0,True,False,0.0
CIT035980,EMP003520,Transport,23.56,SIPA000064,0,True,False,0.0
CIT026164,EMP003055,Cleaning,23.53,SIPA000006,0,True,False,0.0
CIT002362,EMP000276,Meals,23.49,SIPA000066,0,True,False,0.0
CIT010615,EMP001245,Meals,23.47,SIPA000037,0,True,False,0.0
CIT016134,EMP001920,Cleaning,23.46,SIPA000062,0,True,False,0.0
CIT030679,EMP003278,Transport,23.37,SIPA000011,0,True,False,0.0
CIT031373,EMP003352,Transport,23.34,SIPA000049,0,True,False,0.0
CIT005611,EMP000665,Meals,23.31,SIPA000035,0,True,False,0.0
CIT021046,EMP002466,Cleaning,23.31,SIPA000054,0,True,True,0.0
CIT005612,EMP000666,Meals,23.28,SIPA000036,0,True,False,0.0
CIT005606,EMP000660,Meals,23.26,SIPA000030,0,True,False,0.0
CIT010609,EMP001239,Meals,23.25,SIPA000031,0,True,False,64619.01
CIT006737,EMP000789,Meals,23.24,SIPA000013,0,True,False,0.0
CIT022648,EMP002616,Cleaning,23.2,SIPA000016,0,True,False,0.0
