CompanyID,ServiceType,TotalReimbursement,NumberOfEmployees,AverageServiceHoursPerEmployee,AverageMonthlyPurchasePerServiceHour,EmployeesWithCriminalBackground,EmployeesWithDebt,FamilyRelations,PredictedDeviation,RiskScore
COMP000267,Transport,3953866.7,4,39.88,12.43,3,4,6,-11.25,270.12
COMP000220,Cleaning,47109701.74,44,43.15,8.66,28,41,8,-28.75,263.36
COMP000215,Cleaning,53905863.37,49,44.35,8.08,30,44,8,-27.57,255.16
COMP000130,Cleaning,9817635.73,8,49.47,7.38,4,7,8,-34.88,242.85
COMP000276,Transport,24955350.69,23,43.72,11.93,13,21,8,-22.77,241.84
COMP000282,Transport,38826014.22,36,43.48,11.52,19,34,8,-26.53,241.01
COMP000168,Cleaning,108246098.81,100,43.64,8.35,47,92,8,-32.49,233.13
COMP000203,Cleaning,67376778.89,65,41.81,8.61,35,55,8,-27.86,232.97
COMP000292,Transport,8759351.86,8,44.15,11.3,4,7,8,-30.05,232.7
COMP000273,Transport,20549557.53,18,46.05,10.88,10,15,8,-16.28,227.77
COMP000139,Cleaning,52194133.11,48,43.84,8.37,24,43,8,-23.14,227.56
COMP000229,Transport,41098666.31,38,43.6,11.14,17,34,8,-28.84,222.4
COMP000205,Cleaning,4695800.88,5,37.87,9.43,3,4,6,-12.39,219.25
COMP000240,Transport,3782340.21,4,38.15,13.15,2,4,6,-11.61,218.76
COMP000114,Meals,9588451.34,10,38.65,8.76,5,9,6,-20.0,217.65
COMP000172,Cleaning,49578527.27,46,43.44,8.79,21,40,8,-20.96,213.65
COMP000232,Transport,47073808.88,43,44.15,11.0,19,35,8,-26.9,211.82
COMP000299,Transport,12730957.81,11,46.64,10.71,3,11,8,-33.18,205.37
COMP000180,Cleaning,7027542.45,7,40.51,9.27,3,6,6,-18.46,199.39
COMP000195,Cleaning,9417801.5,10,37.98,9.79,5,9,6,-6.37,196.98
COMP000122,Cleaning,11305057.2,10,45.57,7.96,3,9,8,-30.03,196.6
COMP000016,Meals,84878660.83,91,37.6,9.25,37,79,6,-20.58,195.31
COMP000149,Cleaning,29561683.29,31,38.46,9.77,13,27,6,-15.29,193.72
COMP000017,Meals,72809012.79,76,38.63,8.85,33,62,6,-16.79,192.84
COMP000158,Cleaning,56996758.71,59,38.97,9.42,24,49,6,-20.14,192.51
COMP000095,Meals,5493941.69,6,36.91,9.1,2,6,6,-11.23,183.9
COMP000069,Meals,3477648.28,4,35.09,9.86,2,3,6,1.7,181.0
COMP000234,Transport,90075042.78,95,38.23,13.19,23,75,6,-40.12,174.71
COMP000264,Transport,38865549.7,41,38.23,13.17,13,36,6,-16.16,174.61
