EmployeeID,CompanyID,Role,WeeklyServiceHours,CitizensServed,FamilyRelations,CaretakingEducation,RecentWorkPermit,CriminalBackground,Debt
EMP002266,COMP000079,Employee,71.06,9,0,True,False,False,261765.26
EMP001490,COMP000058,Employee,61.76,9,0,True,False,False,186403.79
EMP003212,COMP000117,Employee,60.62,21,1,True,False,False,0.0
EMP003449,COMP000128,Employee,59.01,20,1,True,True,True,381140.92
EMP001189,COMP000044,Employee,58.49,9,0,True,False,False,123227.79
EMP000558,COMP000023,Employee,58.3,9,0,True,False,False,0.0
EMP002666,COMP000098,Employee,57.89,9,0,True,False,False,0.0
EMP001183,COMP000044,Employee,57.23,9,0,True,True,False,201091.02
EMP003301,COMP000123,Employee,55.93,22,0,True,False,False,0.0
EMP002655,COMP000098,Employee,55.92,9,0,True,False,False,0.0
EMP003628,COMP000138,Employee,55.32,22,0,True,False,False,0.0
EMP000884,COMP000034,Employee,55.22,9,1,True,False,False,0.0
EMP001283,COMP000049,Owner,55.21,8,2,True,False,True,552813.57
EMP000276,COMP000016,Owner,54.84,9,1,True,False,False,0.0
EMP001180,COMP000044,Owner,54.74,9,0,True,True,True,596410.79
EMP003752,COMP000140,Owner,54.56,20,0,False,True,True,582358.87
EMP003424,COMP000128,Employee,54.22,21,1,True,False,True,363984.48
EMP003604,COMP000137,Employee,54.01,24,0,True,False,False,318883.18
EMP002433,COMP000088,Employee,53.76,9,0,True,False,False,0.0
EMP001888,COMP000072,Employee,53.73,9,0,True,False,False,231281.92
EMP002258,COMP000079,Employee,53.59,9,0,True,False,False,139726.32
EMP002261,COMP000079,Employee,53.56,9,0,True,False,True,269224.84
EMP003234,COMP000119,Employee,53.55,22,0,True,False,False,0.0
EMP003347,COMP000123,Employee,53.53,21,0,True,False,False,0.0
EMP000466,COMP000021,Employee,53.37,9,0,True,False,False,110051.69
EMP002845,COMP000104,Employee,53.36,9,0,True,False,False,0.0
EMP001656,COMP000064,Owner,53.27,10,0,True,False,False,0.0
EMP003149,COMP000113,Employee,53.14,21,0,True,False,False,0.0
EMP003199,COMP000115,Employee,53.14,19,0,True,False,False,0.0
EMP001376,COMP000055,Employee,53.12,9,0,True,False,False,132334.29
EMP003306,COMP000123,Employee,52.9,21,0,True,False,True,0.0
EMP000663,COMP000026,Employee,52.87,9,0,True,False,False,0.0
EMP003278,COMP000121,Employee,52.64,24,1,True,False,False,0.0
EMP001304,COMP000053,Employee,52.62,9,0,False,False,True,276031.35
EMP001876,COMP000072,Employee,52.47,9,0,True,False,False,172511.96
EMP003615,COMP000137,Employee,52.45,23,0,True,False,True,454880.05
EMP002080,COMP000076,Employee,52.39,9,0,True,False,False,0.0
EMP003600,COMP000137,Employee,52.35,24,2,True,False,True,355547.89
EMP001247,COMP000047,Employee,52.17,9,0,True,False,False,0.0
EMP000881,COMP000034,Employee,51.98,9,0,True,False,False,0.0
EMP002864,COMP000104,Employee,51.84,9,0,True,False,False,0.0
EMP002870,COMP000104,Employee,51.73,9,0,True,False,False,0.0
EMP000658,COMP000026,Owner,51.73,9,0,True,False,False,0.0
EMP001179,COMP000044,Owner,51.62,9,0,True,True,True,409378.12
EMP003386,COMP000125,Employee,51.55,21,1,True,False,False,100731.26
EMP003291,COMP000122,Owner,51.31,11,0,True,False,False,0.0
EMP001496,COMP000058,Employee,51.29,9,0,True,False,True,179522.48
