PersonID1,PersonID2,CompanyID,Category,Debt,CriminalRecord,Relation
EMP000011,EMP000009,COMP000002,Employee,0.0,False,Distant Family
EMP000009,EMP000011,COMP000002,Employee,0.0,False,Distant Family
EMP000013,EMP000011,COMP000002,Employee,0.0,False,Distant Family
EMP000011,EMP000013,COMP000002,Employee,0.0,False,Distant Family
EMP000027,EMP000022,COMP000004,Employee,0.0,False,Distant Family
EMP000022,EMP000027,COMP000004,Employee,0.0,False,Distant Family
EMP000029,EMP000053,COMP000005,Owner,0.0,False,Distant Family
EMP000053,EMP000029,COMP000005,Employee,0.0,False,Distant Family
EMP000037,EMP000042,COMP000005,Employee,0.0,False,Distant Family
EMP000042,EMP000037,COMP000005,Employee,0.0,False,Distant Family
EMP000043,EMP000046,COMP000005,Employee,0.0,False,Distant Family
EMP000046,EMP000043,COMP000005,Employee,0.0,False,Distant Family
EMP000050,EMP000048,COMP000005,Employee,0.0,False,Distant Family
EMP000048,EMP000050,COMP000005,Employee,0.0,False,Distant Family
EMP000062,EMP000038,COMP000005,Employee,0.0,False,Distant Family
EMP000038,EMP000062,COMP000005,Employee,0.0,False,Distant Family
EMP000084,EMP000080,COMP000006,Employee,75604.65,False,Distant Family
EMP000080,EMP000084,COMP000006,Employee,0.0,False,Distant Family
EMP000085,EMP000078,COMP000006,Employee,0.0,False,Distant Family
EMP000078,EMP000085,COMP000006,Employee,0.0,False,Distant Family
EMP000111,EMP000106,COMP000008,Employee,0.0,False,Distant Family
EMP000106,EMP000111,COMP000008,Employee,0.0,False,Distant Family
EMP000112,EMP000101,COMP000008,Employee,0.0,False,Distant Family
EMP000101,EMP000112,COMP000008,Employee,0.0,False,Distant Family
EMP000131,EMP000155,COMP000010,Employee,0.0,False,Distant Family
EMP000155,EMP000131,COMP000010,Employee,0.0,False,Distant Family
EMP000149,EMP000142,COMP000010,Employee,0.0,False,Distant Family
EMP000142,EMP000149,COMP000010,Employee,0.0,False,Distant Family
EMP000194,EMP000199,COMP000012,Employee,0.0,False,Distant Family
EMP000199,EMP000194,COMP000012,Employee,0.0,False,Distant Family
EMP000215,EMP000200,COMP000013,Employee,0.0,False,Close Family
EMP000200,EMP000215,COMP000013,Owner,0.0,False,Close Family
EMP000251,EMP000235,COMP000014,Employee,68823.17,False,Distant Family
EMP000235,EMP000251,COMP000014,Employee,0.0,False,Distant Family
EMP000259,EMP000274,COMP000015,Employee,0.0,False,Distant Family
EMP000274,EMP000259,COMP000015,Employee,0.0,True,Distant Family
EMP000260,EMP000272,COMP000015,Employee,0.0,False,Close Family
EMP000272,EMP000260,COMP000015,Employee,0.0,False,Close Family
EMP000310,EMP000342,COMP000016,Employee,60717.2,False,Distant Family
EMP000342,EMP000310,COMP000016,Employee,65436.27,False,Distant Family
EMP000316,EMP000287,COMP000016,Employee,109359.25,False,Close Family
EMP000287,EMP000316,COMP000016,Employee,62804.58,True,Close Family
EMP000340,EMP000278,COMP000016,Employee,61483.68,False,Close Family
EMP000278,EMP000340,COMP000016,Employee,101398.95,False,Close Family
EMP000328,EMP000312,COMP000016,Employee,67337.36,False,Close Family
EMP000312,EMP000328,COMP000016,Employee,76924.32,False,Close Family
EMP000312,EMP000364,COMP000016,Employee,76924.32,False,Close Family
EMP000364,EMP000312,COMP000016,Employee,124760.94,False,Close Family
EMP000364,EMP000328,COMP000016,Employee,124760.94,False,Distant Family
EMP000328,EMP000364,COMP000016,Employee,67337.36,False,Distant Family
EMP000339,EMP000345,COMP000016,Employee,100761.04,False,Close Family
EMP000345,EMP000339,COMP000016,Employee,56337.5,False,Close Family
EMP000339,EMP000315,COMP000016,Employee,100761.04,False,Close Family
EMP000315,EMP000339,COMP000016,Employee,61976.21,False,Close Family
EMP000345,EMP000315,COMP000016,Employee,56337.5,False,Close Family
EMP000315,EMP000345,COMP000016,Employee,61976.21,False,Close Family
EMP000317,EMP000358,COMP000016,Employee,128917.12,False,Distant Family
EMP000358,EMP000317,COMP000016,Employee,66426.58,False,Distant Family
EMP000298,EMP000344,COMP000016,Employee,53931.21,False,Close Family
EMP000344,EMP000298,COMP000016,Employee,83660.43,True,Close Family
EMP000298,EMP000311,COMP000016,Employee,53931.21,False,Close Family
EMP000311,EMP000298,COMP000016,Employee,103261.73,False,Close Family
EMP000313,EMP000311,COMP000016,Employee,52007.12,False,Distant Family
EMP000311,EMP000313,COMP000016,Employee,103261.73,False,Distant Family
EMP000313,EMP000298,COMP000016,Employee,52007.12,False,Distant Family
EMP000298,EMP000313,COMP000016,Employee,53931.21,False,Distant Family
EMP000313,EMP000344,COMP000016,Employee,52007.12,False,Close Family
EMP000344,EMP000313,COMP000016,Employee,83660.43,True,Close Family
EMP000311,EMP000344,COMP000016,Employee,103261.73,False,Distant Family
EMP000344,EMP000311,COMP000016,Employee,83660.43,True,Distant Family
EMP000314,EMP000289,COMP000016,Employee,71144.8,False,Distant Family
EMP000289,EMP000314,COMP000016,Employee,68188.01,False,Distant Family
EMP000314,EMP000319,COMP000016,Employee,71144.8,False,Close Family
EMP000319,EMP000314,COMP000016,Employee,108684.11,False,Close Family
EMP000314,EMP000354,COMP000016,Employee,71144.8,False,Close Family
EMP000354,EMP000314,COMP000016,Employee,56649.63,False,Close Family
EMP000354,EMP000289,COMP000016,Employee,56649.63,False,Close Family
EMP000289,EMP000354,COMP000016,Employee,68188.01,False,Close Family
EMP000319,EMP000354,COMP000016,Employee,108684.11,False,Close Family
EMP000354,EMP000319,COMP000016,Employee,56649.63,False,Close Family
EMP000289,EMP000319,COMP000016,Employee,68188.01,False,Close Family
EMP000319,EMP000289,COMP000016,Employee,108684.11,False,Close Family
EMP000318,EMP000292,COMP000016,Employee,58692.03,False,Distant Family
EMP000292,EMP000318,COMP000016,Employee,69228.9,True,Distant Family
EMP000318,EMP000276,COMP000016,Employee,58692.03,False,Close Family
EMP000276,EMP000318,COMP000016,Owner,248061.01,False,Close Family
EMP000292,EMP000276,COMP000016,Employee,69228.9,True,Close Family
EMP000276,EMP000292,COMP000016,Owner,248061.01,False,Close Family
EMP000327,EMP000334,COMP000016,Employee,68656.7,False,Distant Family
EMP000334,EMP000327,COMP000016,Employee,67088.76,False,Distant Family
EMP000327,EMP000350,COMP000016,Employee,68656.7,False,Distant Family
