PersonID1,PersonID2,CompanyID,Category,Debt,CriminalRecord,Relation,RelationInt,Color,Size
EMP000011,EMP000009,COMP000002,Employee,0.0,False,Distant Family,2,0,1
EMP000009,EMP000011,COMP000002,Employee,0.0,False,Distant Family,2,0,1
EMP000013,EMP000011,COMP000002,Employee,0.0,False,Distant Family,2,0,1
EMP000011,EMP000013,COMP000002,Employee,0.0,False,Distant Family,2,0,1
EMP000027,EMP000022,COMP000004,Employee,0.0,False,Distant Family,2,0,1
EMP000022,EMP000027,COMP000004,Employee,0.0,False,Distant Family,2,0,1
EMP000029,EMP000053,COMP000005,Owner,0.0,False,Distant Family,2,0,3
EMP000053,EMP000029,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000037,EMP000042,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000042,EMP000037,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000043,EMP000046,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000046,EMP000043,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000050,EMP000048,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000048,EMP000050,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000062,EMP000038,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000038,EMP000062,COMP000005,Employee,0.0,False,Distant Family,2,0,1
EMP000084,EMP000080,COMP000006,Employee,75604.65,False,Distant Family,2,1,1
EMP000080,EMP000084,COMP000006,Employee,0.0,False,Distant Family,2,0,1
EMP000085,EMP000078,COMP000006,Employee,0.0,False,Distant Family,2,0,1
EMP000078,EMP000085,COMP000006,Employee,0.0,False,Distant Family,2,0,1
EMP000111,EMP000106,COMP000008,Employee,0.0,False,Distant Family,2,0,1
EMP000106,EMP000111,COMP000008,Employee,0.0,False,Distant Family,2,0,1
EMP000112,EMP000101,COMP000008,Employee,0.0,False,Distant Family,2,0,1
EMP000101,EMP000112,COMP000008,Employee,0.0,False,Distant Family,2,0,1
EMP000131,EMP000155,COMP000010,Employee,0.0,False,Distant Family,2,0,1
EMP000155,EMP000131,COMP000010,Employee,0.0,False,Distant Family,2,0,1
EMP000149,EMP000142,COMP000010,Employee,0.0,False,Distant Family,2,0,1
EMP000142,EMP000149,COMP000010,Employee,0.0,False,Distant Family,2,0,1
EMP000194,EMP000199,COMP000012,Employee,0.0,False,Distant Family,2,0,1
EMP000199,EMP000194,COMP000012,Employee,0.0,False,Distant Family,2,0,1
EMP000215,EMP000200,COMP000013,Employee,0.0,False,Close Family,1,0,1
EMP000200,EMP000215,COMP000013,Owner,0.0,False,Close Family,1,0,3
EMP000251,EMP000235,COMP000014,Employee,68823.17,False,Distant Family,2,1,1
EMP000235,EMP000251,COMP000014,Employee,0.0,False,Distant Family,2,0,1
EMP000259,EMP000274,COMP000015,Employee,0.0,False,Distant Family,2,0,1
EMP000274,EMP000259,COMP000015,Employee,0.0,True,Distant Family,2,2,1
EMP000260,EMP000272,COMP000015,Employee,0.0,False,Close Family,1,0,1
EMP000272,EMP000260,COMP000015,Employee,0.0,False,Close Family,1,0,1
EMP000280,EMP000281,COMP000016,Employee,136236.37,False,Close Family,1,1,1
EMP000281,EMP000280,COMP000016,Employee,64707.35,False,Close Family,1,1,1
EMP000340,CIT002647,COMP000016,Employee,61483.68,False,Close Family,1,1,1
CIT002647,EMP000340,COMP000016,Citizen,0.0,False,Close Family,1,0,0
EMP000376,EMP000382,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000382,EMP000376,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000380,EMP000483,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000483,EMP000380,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000409,EMP000378,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000378,EMP000409,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000430,EMP000439,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000439,EMP000430,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000449,EMP000422,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000422,EMP000449,COMP000017,Employee,0.0,False,Distant Family,2,0,1
EMP000508,EMP000507,COMP000018,Employee,81529.03,False,Close Family,1,1,1
EMP000507,EMP000508,COMP000018,Owner,331191.69,True,Close Family,1,2,3
EMP000507,CIT004347,COMP000018,Owner,331191.69,True,Close Family,1,2,3
CIT004347,EMP000507,COMP000018,Citizen,241503.59,False,Close Family,1,1,0
EMP000512,EMP000510,COMP000019,Employee,93504.94,False,Distant Family,2,1,1
EMP000510,EMP000512,COMP000019,Owner,0.0,False,Distant Family,2,0,3
EMP000530,EMP000573,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000573,EMP000530,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000541,EMP000621,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000621,EMP000541,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000566,EMP000547,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000547,EMP000566,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000576,EMP000616,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000616,EMP000576,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000577,EMP000583,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000583,EMP000577,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000580,EMP000594,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000594,EMP000580,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000591,EMP000540,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000540,EMP000591,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000604,EMP000576,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000576,EMP000604,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000607,EMP000620,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000620,EMP000607,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000610,EMP000548,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000548,EMP000610,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000620,EMP000528,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000528,EMP000620,COMP000021,Employee,0.0,False,Distant Family,2,0,1
EMP000633,EMP000650,COMP000022,Owner,331370.35,False,Close Family,1,1,3
EMP000650,EMP000633,COMP000022,Employee,243840.36,True,Close Family,1,2,1
EMP000632,EMP000633,COMP000022,Owner,360045.07,True,Close Family,1,2,3
EMP000633,EMP000632,COMP000022,Owner,331370.35,False,Close Family,1,1,3
EMP000639,CIT005456,COMP000022,Employee,262965.02,True,Close Family,1,2,1
CIT005456,EMP000639,COMP000022,Citizen,317825.88,False,Close Family,1,1,0
EMP000644,CIT005480,COMP000022,Employee,112070.42,True,Close Family,1,2,1
CIT005480,EMP000644,COMP000022,Citizen,128011.94,False,Close Family,1,1,0
EMP000671,EMP000665,COMP000023,Employee,0.0,False,Distant Family,2,0,1
EMP000665,EMP000671,COMP000023,Employee,0.0,False,Distant Family,2,0,1
EMP000679,EMP000681,COMP000023,Employee,0.0,False,Distant Family,2,0,1
EMP000681,EMP000679,COMP000023,Employee,0.0,False,Distant Family,2,0,1
EMP000726,EMP000706,COMP000024,Employee,0.0,False,Distant Family,2,0,1
EMP000706,EMP000726,COMP000024,Employee,0.0,False,Distant Family,2,0,1
EMP000750,EMP000748,COMP000025,Employee,0.0,False,Distant Family,2,0,1
EMP000748,EMP000750,COMP000025,Employee,0.0,False,Distant Family,2,0,1
EMP000763,EMP000757,COMP000025,Employee,0.0,False,Distant Family,2,0,1
EMP000757,EMP000763,COMP000025,Employee,0.0,False,Distant Family,2,0,1
EMP000853,EMP000849,COMP000027,Employee,196268.83,True,Close Family,1,2,1
EMP000849,EMP000853,COMP000027,Employee,138924.5,False,Close Family,1,1,1
EMP000870,EMP000853,COMP000027,Employee,268174.32,True,Close Family,1,2,1
EMP000853,EMP000870,COMP000027,Employee,196268.83,True,Close Family,1,2,1
EMP000888,CIT007202,COMP000027,Employee,293572.01,True,Close Family,1,2,1
CIT007202,EMP000888,COMP000027,Citizen,238288.6,False,Close Family,1,1,0
EMP000865,CIT007182,COMP000027,Employee,178895.26,False,Close Family,1,1,1
CIT007182,EMP000865,COMP000027,Citizen,237327.51,False,Close Family,1,1,0
EMP000918,EMP000903,COMP000028,Employee,208447.44,False,Close Family,1,1,1
EMP000903,EMP000918,COMP000028,Employee,148138.54,True,Close Family,1,2,1
EMP000925,EMP000918,COMP000028,Employee,298361.99,True,Close Family,1,2,1
EMP000918,EMP000925,COMP000028,Employee,208447.44,False,Close Family,1,1,1
EMP000915,CIT007947,COMP000028,Employee,245195.98,False,Close Family,1,1,1
CIT007947,EMP000915,COMP000028,Citizen,275662.33,False,Close Family,1,1,0
EMP000895,CIT007814,COMP000028,Owner,387846.61,False,Close Family,1,1,3
CIT007814,EMP000895,COMP000028,Citizen,0.0,False,Close Family,1,0,0
EMP000938,EMP000943,COMP000029,Employee,244414.19,False,Close Family,1,1,1
EMP000943,EMP000938,COMP000029,Employee,118598.13,False,Close Family,1,1,1
EMP000939,EMP000938,COMP000029,Employee,218608.87,False,Close Family,1,1,1
EMP000938,EMP000939,COMP000029,Employee,244414.19,False,Close Family,1,1,1
EMP000942,CIT008050,COMP000029,Employee,171098.6,False,Close Family,1,1,1
CIT008050,EMP000942,COMP000029,Citizen,260078.24,False,Close Family,1,1,0
EMP000938,CIT008037,COMP000029,Employee,244414.19,False,Close Family,1,1,1
CIT008037,EMP000938,COMP000029,Citizen,197136.77,False,Close Family,1,1,0
EMP000976,EMP000977,COMP000033,Employee,0.0,False,Distant Family,2,0,1
EMP000977,EMP000976,COMP000033,Employee,0.0,False,Distant Family,2,0,1
EMP000994,EMP001054,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001054,EMP000994,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP000998,EMP001022,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001022,EMP000998,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001003,EMP001047,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001047,EMP001003,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001004,EMP000988,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP000988,EMP001004,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001012,EMP001058,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001058,EMP001012,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001021,EMP001039,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001039,EMP001021,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001022,EMP001045,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001045,EMP001022,COMP000034,Employee,77987.78,False,Distant Family,2,1,1
EMP001062,EMP001032,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001032,EMP001062,COMP000034,Employee,0.0,False,Distant Family,2,0,1
EMP001063,EMP001039,COMP000034,Employee,0.0,False,Distant Family,2,0,1
